ticker,sector,cap,bars,data_integrity,signal_admissible,max_signal,bear_frequency,sideways_frequency,bull_frequency,transition_cells_covering_base_rate,overlap_persistence,stride_persistence,hit_rate,log_loss,baseline_log_loss,log_loss_delta,brier_score,baseline_brier,brier_delta,markov_gross_sharpe,markov_net_sharpe,baseline_net_sharpe,buy_hold_net_sharpe,markov_minus_baseline_sharpe,circular_null_percentile,circular_p_value,iid_null_percentile,cagr,max_drawdown,exposure,turnover,profit_factor,permutation_gate,baseline_gate,final_verdict
M&M.NS,Consumer Discretionary,Large Cap,2467,FAIL,PASS,0.2010796221322537,0.17327339599509603,0.5169595422966898,0.30976706170821416,9,0.8393416675098013,0.35458910864766385,0.5129358830146231,1.0576055872029566,1.0415606763500602,-0.016044910852896388,0.6411583312094336,0.6319265341420168,-0.009231797067416725,0.6689360093876511,0.5954606505613164,1.0463047605149534,0.9992333027955859,-0.450844109953637,16.400000000000002,0.8361638361638362,9.6,0.11327085562244488,-0.22914474896892337,0.5260355029585799,16.253254437869824,1.1598882470540568,FAIL,FAIL,NO EVIDENCE OF EDGE
BAJAJ-AUTO.NS,Consumer Discretionary,Large Cap,2467,PASS,PASS,0.20343839541547276,0.14793624846751124,0.5590519002860646,0.2930118512464242,9,0.8617506379248945,0.3787888501465681,0.5391304347826087,1.0228829172535792,1.0148575780989813,-0.00802533915459791,0.6187638432614585,0.6144464264751466,-0.004317416786311923,1.0806805630210818,0.9905208832646168,1.3332677708588347,1.0043892557415548,-0.3427468875942179,80.10000000000001,0.1998001998001998,45.6,0.17900135024422736,-0.3739776163695272,0.5437869822485207,16.551479289940826,1.2860837424576166,FAIL,FAIL,NO EVIDENCE OF EDGE
HEROMOTOCO.NS,Consumer Discretionary,Large Cap,2468,PASS,PASS,0.15535444947209656,0.19321895424836602,0.5290032679738562,0.2777777777777778,9,0.849033943975205,0.34330914163875503,0.5245901639344263,1.0686285917932974,1.054777017427227,-0.013851574366070318,0.6433253222876366,0.6366152867297763,-0.006710035557860317,0.15941123965662374,0.07117726196551485,0.8105384867974127,0.6662668685245333,-0.7393612248318978,26.1,0.7392607392607392,72.60825780463243,-0.0015374246524341162,-0.3502694699783863,0.25192193968066234,14.157303370786517,1.0416533729749087,FAIL,FAIL,NO EVIDENCE OF EDGE
EICHERMOT.NS,Consumer Discretionary,Large Cap,2468,PASS,PASS,0.14032697547683926,0.1854575163398693,0.508578431372549,0.3059640522875817,9,0.8540775539041211,0.3446327940661899,0.5094991364421416,1.0451226816723678,1.0269622273475312,-0.018160454324836595,0.6303094364909931,0.6195966498084129,-0.010712786682580244,0.30336356731413905,0.18396441360603255,0.7718192647567544,0.9011905150980369,-0.5878548511507219,4.3,0.957042957042957,9.700000000000001,0.017029510351656896,-0.3062132510768486,0.34180958013010054,21.608515671200472,1.075512617930078,FAIL,FAIL,NO EVIDENCE OF EDGE
TMPV.NS,Consumer Discretionary,Large Cap,2468,FAIL,FAIL,0.07770700636942679,0.3055555555555556,0.3729575163398693,0.3214869281045752,9,0.8563136617928889,0.36137470962373053,0.4652567975830816,1.129168222436361,1.117781665051541,-0.011386557384819973,0.6865977597546492,0.6786657885316247,-0.00793197122302447,-0.8056553568946787,-0.8436877330499105,0.817023390439626,0.7464384956394913,-1.6607111234895364,7.3,0.9270729270729271,1.7167381974248928,-0.19808241533570625,-0.7743870495154725,0.19633353045535187,8.64340626848019,0.7001627955323011,FAIL,FAIL,WEAK / INCONCLUSIVE
TATASTEEL.NS,Materials,Large Cap,2468,PASS,PASS,0.17920353982300888,0.22549019607843138,0.40522875816993464,0.369281045751634,9,0.842723782349469,0.32512499044200205,0.5191409897292251,1.0864375649265743,1.0806164192890817,-0.005821145637492586,0.659318686786935,0.6559224895282124,-0.003396197258722533,1.008770432183443,0.9386553699525509,1.1746481531191921,0.9587827770255348,-0.23599278316664118,78.9,0.21178821178821178,56.10000000000001,0.2250180707202929,-0.24758782595598566,0.6333530455351862,17.435836782968657,1.2401231799167693,FAIL,FAIL,NO EVIDENCE OF EDGE
JSWSTEEL.NS,Materials,Large Cap,2464,FAIL,PASS,0.22058823529411764,0.16693944353518822,0.4950900163666121,0.33797054009819966,9,0.8024061652531082,0.3569250647109888,0.5265151515151515,1.002232127280889,0.9989744654538155,-0.0032576618270734325,0.6057974636482875,0.6043810486163574,-0.0014164150319300184,1.0470100822681245,1.0243447970055393,0.9676249924250425,0.984894653183993,0.05671980458049675,89.5,0.10589410589410589,96.8,0.29603732728305787,-0.3121963590450441,0.9389448725548311,6.721991701244813,1.2079216351100368,FAIL,PASS,NO EVIDENCE OF EDGE
HINDALCO.NS,Materials,Large Cap,2468,FAIL,PASS,0.2,0.22181372549019607,0.3897058823529412,0.38848039215686275,9,0.8208651613861554,0.34792134671342495,0.5317348377997179,1.0931659157562468,1.0769704451815965,-0.016195470574650317,0.6641077564916803,0.6541347429710982,-0.009973013520582108,0.3521607265497821,0.3211230389870582,1.0777818172303362,0.869474068313426,-0.756658778243278,0.4,0.996003996003996,0.3,0.05217679071751058,-0.6817236536965813,0.8379657007687759,10.580721466587818,1.0674107787970404,FAIL,FAIL,NO EVIDENCE OF EDGE
VEDL.NS,Materials,Large Cap,2468,FAIL,PASS,0.23565573770491802,0.2222222222222222,0.37745098039215685,0.40032679738562094,9,0.8318924265264069,0.35443213155457864,0.5273972602739726,1.084420306564699,1.072416439930004,-0.012003866634694882,0.6583616190035464,0.6509762782730708,-0.007385340730475587,0.18725136200995077,0.12753041932868234,0.9078610098742739,0.7414346315311331,-0.7803305905455915,0.7000000000000001,0.993006993006993,0.0,-0.06285581746203595,-0.6786666627914187,0.6889414547604967,25.48314606741573,1.041406492765847,FAIL,FAIL,NO EVIDENCE OF EDGE
JINDALSTEL.NS,Materials,Mid Cap,2468,FAIL,PASS,0.18421052631578946,0.255718954248366,0.3366013071895425,0.4076797385620915,9,0.8148568908956051,0.331365642515917,0.5328125,1.0924111687561833,1.0828991000703367,-0.009512068685846531,0.6625329618180977,0.6564845910750126,-0.006048370743085174,0.9457906701241587,0.9067221878733317,1.3507167250893526,1.029150123477217,-0.4439945372160209,41.099999999999994,0.5894105894105894,26.3,0.262258060411076,-0.3390211336563145,0.7569485511531638,12.070963926670608,1.1981807493455818,FAIL,FAIL,NO EVIDENCE OF EDGE
